SID,LastLat,LastLon,LastWind,LandfallLat,LandfallLon,LastDir,LastSpeed
1925184N21089,22.8175,85.201,0.0,23.0,85.1,333.0,5.0
1925192N21088,25.1362,79.2892,0.0,25.4,79.0,315.0,9.0
1925206N22089,23.1187,80.9141,0.0,23.2,80.5,281.0,9.0
1925232N21089,22.8076,81.1277,0.0,23.0,80.6,291.0,13.0
1925242N19087,25.8125,85.5281,0.0,25.8,85.6,107.0,2.0
1925249N20088,25.6578,81.6568,0.0,25.7,81.5,286.0,3.0
1925257N23091,26.3689,88.2087,0.0,26.5,88.1,325.0,4.0
1925287N14094,16.5317,95.4369,0.0,16.5,95.7,96.0,6.0
1925287N16083,20.4753,89.4958,0.0,20.7,90.0,64.0,13.0
1925310N08084,6.81376,78.7038,0.0,6.86141,78.3213,274.0,7.0
1925318N15094,15.0,93.8,0.0,15.0,93.8,,
1925328N09086,13.0866,80.6521,0.0,13.1,80.5,273.0,4.0
1925353N11090,12.7337,87.1173,0.0,12.9,86.9,309.0,6.0
1926139N09085,23.7472,94.7538,0.0,24.0,95.0,42.0,8.0
1926186N22091,23.2547,79.7365,0.0,23.5193,78.7161,284.0,20.0
1926217N18087,21.7527,81.475,0.0,21.8,81.0,277.0,11.0
1926225N24088,23.8052,78.5732,0.0,23.9787,78.2424,301.0,7.0
1926247N24087,25.2648,78.9594,0.0,25.3037,78.4424,278.0,10.0
1926257N16089,23.649,81.3477,0.0,23.8,81.4,20.0,4.0
1926272N16093,19.7544,79.4254,0.0,19.9,79.1,296.0,8.0
1926288N14095,21.9588,95.6501,0.0,22.2,95.9,43.0,8.0
1926325N10085,18.8023,93.6113,0.0,18.9,93.8,61.0,5.0
1926358N10087,20.1718,90.215,0.0,20.7,90.3,8.0,13.0
1927125N13088,17.3345,90.7789,0.0,17.5,90.9,36.0,5.0
1927134N14096,17.4572,91.5809,0.0,17.7,91.6,6.0,6.0
1927151N17091,25.0875,87.5834,0.0,25.2,87.6,13.0,3.0
1927167N19087,27.3584,78.5173,0.0,27.7,78.6,12.0,8.0
1927192N22085,21.9033,79.5584,0.0,22.0581,78.5384,279.0,19.0
1927201N19088,22.2012,85.8513,0.0,22.3,85.7,305.0,4.0
1927204N21088,24.1983,78.7562,0.0,24.3559,78.2267,290.0,10.0
1927208N20089,22.9116,85.7421,0.0,23.0,85.6,302.0,4.0
1927223N20086,24.2814,82.215,0.0,24.4,82.1,319.0,4.0
1927228N21088,24.6794,79.0056,0.0,24.8301,78.4015,286.0,11.0
1927233N17090,22.8375,82.4105,0.0,23.0,82.4,357.0,4.0
1927244N21088,21.1501,87.2835,0.0,21.2,87.2,308.0,2.0
1927261N15088,16.0779,80.1422,0.0,16.2246,79.0612,278.0,21.0
1927277N17089,25.5354,80.3759,0.0,25.7,80.4,9.0,4.0
1927302N10091,14.9962,78.5924,0.0,15.2005,78.2075,297.0,9.0
1927318N13089,19.524,92.3332,0.0,19.6,92.4,41.0,2.0
1928085N11089,14.0633,83.3496,0.0,14.2,83.0,291.0,8.0
1928157N19089,20.4907,91.2654,0.0,20.6,91.4,50.0,4.0
1928167N24088,23.3709,86.3292,0.0,23.4,86.2,285.0,3.0
1928199N19092,22.5688,81.1114,0.0,22.6,80.8,276.0,7.0
1928205N19089,24.6015,79.4374,0.0,24.8,79.2,313.0,7.0
1928214N21091,21.8668,89.9004,0.0,22.0,89.8,325.0,4.0
1928237N18089,22.6,78.3849,0.0,22.8,78.1287,309.0,6.0
1928244N22087,26.1802,81.6469,0.0,26.3,81.6,343.0,3.0
1928275N15094,23.3388,82.9165,0.0,23.4,83.1,69.0,4.0
1928293N10084,12.7178,81.7428,0.0,12.8,81.6,300.0,4.0
1928318N08091,18.2542,87.1115,0.0,18.3,87.2,59.0,2.0
1928357N10088,10.7042,83.9842,0.0,10.6,83.8,242.0,5.0
1929003N11091,12.3035,81.7721,0.0,12.4,81.5,290.0,7.0
1929132N14087,18.9802,91.6721,0.0,19.2,92.1,61.0,11.0
1929153N17091,22.5605,92.3746,0.0,22.8,92.5,25.0,7.0
1929170N19086,25.9796,81.3082,0.0,26.0,81.6,84.0,6.0
1929192N20088,22.1861,80.0361,0.0,22.3232,78.9045,279.0,21.0
1929196N21089,25.926,81.1167,0.0,26.0,81.0,303.0,3.0
1929204N22090,24.5956,78.7066,0.0,24.7824,78.2749,298.0,9.0
1929208N23090,24.0095,82.4524,0.0,24.1,82.3,305.0,4.0
1929219N21090,23.4667,86.1688,0.0,23.5,86.1,298.0,2.0
1929235N20088,23.791,79.2359,0.0,24.065,78.4453,291.0,12.0
1929240N19089,20.9834,82.1616,0.0,21.1,82.1,334.0,3.0
1929275N12085,22.7761,84.9382,0.0,23.0,85.1,33.0,7.0
1929307N08086,10.1836,83.9006,0.0,10.4,83.7,318.0,7.0
1929330N11084,11.2376,81.4778,0.0,11.1,81.4,208.0,4.0
1930125N06083,12.9544,78.1105,0.0,13.0,78.3,77.0,5.0
1930132N18089,18.7856,94.5665,0.0,18.8,95.0,89.0,10.0
1930179N19089,22.1706,80.962,0.0,22.3,80.7,297.0,7.0
1930196N20092,24.0499,78.3386,0.0,24.16,78.0266,290.0,7.0
1930198N22088,23.3175,84.6347,0.0,23.5,84.4,313.0,7.0
1930249N18091,19.8463,82.4126,0.0,19.9,82.0,279.0,10.0
1930294N08086,10.6188,79.3521,0.0,10.6,79.2,261.0,3.0
1930312N14091,19.1994,93.5473,0.0,19.4,93.8,50.0,8.0
1930320N12087,22.9867,88.8188,0.0,23.1,89.6,81.0,18.0
1930332N10084,11.8007,80.7009,0.0,12.0,80.4,304.0,9.0
1930354N10092,10.9199,87.1276,0.0,10.8,86.8,249.0,8.0
1931134N15088,17.8453,91.7381,0.0,18.0,92.1,65.0,9.0
1931218N19089,20.6833,88.0167,0.0,20.8,88.0,355.0,3.0
1931226N20089,20.3667,88.5167,0.0,20.4,88.5,0.0,1.0
1931231N21089,21.4521,87.0834,0.0,21.5,87.0,301.0,2.0
1931242N19088,19.8486,86.2866,0.0,19.9,86.0,280.0,6.0
1931265N18088,20.3888,79.5562,0.0,20.5,79.2,287.0,8.0
1931284N17088,18.8482,83.4251,0.0,18.9,83.3,297.0,3.0
1931298N18087,20.1335,88.5245,0.0,20.3,88.4,325.0,5.0
1931303N10084,15.2274,78.7304,0.0,15.3516,78.2274,282.0,10.0
1931343N05081,7.15477,78.8194,0.0,7.21503,78.2975,281.0,9.0
1931356N07083,10.1292,80.3615,0.0,10.2,80.3,318.0,2.0
1932144N17086,24.217,90.3007,0.0,24.5,90.5,34.0,8.0
1932159N20090,22.1886,89.0031,0.0,22.2,88.9,275.0,2.0
1932191N19087,23.1907,79.1367,0.0,23.3,79.0,310.0,4.0
1932201N20088,24.139,81.012,0.0,24.3,80.9,329.0,5.0
1932206N20088,21.6509,85.3519,0.0,21.9,85.1,318.0,8.0
1932246N19087,27.8219,79.973,0.0,27.9,79.9,321.0,2.0
1932262N19089,25.3002,78.1944,0.0,25.5,78.1,339.0,5.0
1932293N14096,23.0075,85.2289,0.0,23.1,85.4,58.0,4.0
